Date,Depth_m,Temp_C,Chla_ugL,Turb_NTU,Cond_uScm,Spec_Cond_uScm,DO_mgL,DO_pSat,pH,ORP_mV,PAR,Salinity,Descent Rate (m/s),Flag,DOY,site
5/16/2018 10:22,1.049,23.1683,1.8224,0.669,111.669,107.589854,8.5922,100.519,7.946,253.4435,57.746,6.597925648,0.03,0,136.4323843,ccr50
5/16/2018 10:22,1.053,23.1677,1.8327,0.6806,111.624,107.545342,8.5975,100.579,7.946,253.5473,57.452,6.595147269,0.03,0,136.4323843,ccr50
5/16/2018 10:22,1.06,23.1681,1.8426,0.6793,111.611,107.530907,8.6004,100.611,7.947,253.6592,56.987,6.594259588,0.032,0,136.4323843,ccr50
5/16/2018 10:22,1.072,23.1684,1.8586,0.6527,111.626,107.542814,8.5965,100.562,7.948,253.6767,56.527,6.59517003,0.036,0,136.4323843,ccr50
5/16/2018 10:22,1.085,23.1685,1.8698,0.6329,111.648,107.561811,8.5851,100.427,7.95,253.7587,56.222,6.596555828,0.038,0,136.4323843,ccr50
5/16/2018 10:22,1.095,23.1679,1.8774,0.6232,111.658,107.569343,8.5721,100.274,7.952,253.8776,56.002,6.597280673,0.039,0,136.4323843,ccr50
5/16/2018 10:22,1.104,23.1666,1.8588,0.6274,111.66,107.570131,8.5614,100.149,7.955,253.9091,55.814,6.597599317,0.038,0,136.4323843,ccr50
5/16/2018 10:22,1.112,23.1655,1.8192,0.6539,111.663,107.571337,8.5526,100.045,7.956,253.8819,55.52,6.597952054,0.036,0,136.4323843,ccr50
5/16/2018 10:22,1.121,23.1644,1.8127,0.6685,111.677,107.583925,8.5481,99.99,7.956,253.8073,55.191,6.599005715,0.033,0,136.4323843,ccr50
5/16/2018 10:22,1.131,23.1637,1.825,0.6512,111.689,107.59483,8.5498,100.01,7.957,253.7804,54.93,6.599872716,0.031,0,136.4323843,ccr50
5/16/2018 10:22,1.14,23.1631,1.7932,0.5968,111.669,107.575705,8.5538,100.056,7.957,253.8153,54.626,6.598686384,0.031,0,136.4323843,ccr50
5/16/2018 10:22,1.146,23.1622,1.7413,0.5598,111.636,107.543926,8.5588,100.114,7.957,253.8853,54.321,6.596716139,0.032,0,136.4323843,ccr50
5/16/2018 10:22,1.151,23.1618,1.7302,0.6011,111.622,107.52933,8.5678,100.219,7.956,254.0245,54.053,6.595882852,0.034,0,136.4323843,ccr50
5/16/2018 10:22,1.159,23.1619,1.7422,0.6383,111.62,107.526711,8.5798,100.358,7.955,254.1214,53.692,6.595740403,0.037,0,136.4323843,ccr50
5/16/2018 10:22,1.17,23.1618,1.7752,0.6435,111.605,107.51226,8.5908,100.487,7.953,254.1114,53.273,6.594798479,0.041,0,136.4323843,ccr50
5/16/2018 10:22,1.184,23.1615,1.8357,0.6645,111.574,107.482095,8.5989,100.581,7.953,254.0748,52.962,6.592866653,0.046,0,136.4323843,ccr50
5/16/2018 10:22,1.197,23.1609,1.8764,0.678,111.574,107.480735,8.6045,100.647,7.952,254.1095,52.742,6.592954182,0.048,0,136.4323843,ccr50
5/16/2018 10:22,1.21,23.1605,1.8905,0.6544,111.59,107.495807,8.6052,100.654,7.949,254.2735,52.546,6.59403172,0.047,0,136.4323843,ccr50
5/16/2018 10:22,1.223,23.1606,1.8957,0.6225,111.567,107.473086,8.6004,100.598,7.945,254.4216,52.388,6.592550678,0.043,0,136.4323843,ccr50
5/16/2018 10:22,1.236,23.1605,1.8933,0.5983,111.555,107.461006,8.5932,100.514,7.944,254.438,52.236,6.591799899,0.037,0,136.4323843,ccr50
5/16/2018 10:22,1.246,23.1602,1.8891,0.5756,111.572,107.477246,8.5848,100.415,7.944,254.4717,52.13,6.592926532,0.03,0,136.4323843,ccr50
5/16/2018 10:22,1.251,23.1599,1.8811,0.5919,111.574,107.478205,8.5763,100.315,7.946,254.5713,52.084,6.593097899,0.025,0,136.4323843,ccr50
5/16/2018 10:22,1.253,23.1597,1.8705,0.6125,111.569,107.472597,8.5703,100.243,7.948,254.6953,51.988,6.592808668,0.023,0,136.4323843,ccr50
5/16/2018 10:22,1.255,23.1595,1.8525,0.6112,111.57,107.47319,8.5701,100.241,7.949,254.8525,51.842,6.592901721,0.027,0,136.4323843,ccr50
5/16/2018 10:22,1.259,23.1593,1.821,0.6366,111.583,107.485366,8.5763,100.314,7.949,255.0091,51.652,6.593759214,0.035,0,136.4323843,ccr50
5/16/2018 10:22,1.267,23.1591,1.8011,0.6755,111.592,107.492316,8.5833,100.394,7.947,255.127,51.33,6.59436172,0.045,0,136.4323843,ccr50
5/16/2018 10:22,1.282,23.1587,1.8051,0.685,111.595,107.493475,8.5868,100.432,7.946,255.1594,50.823,6.594610938,0.052,0,136.4323843,ccr50
5/16/2018 10:22,1.303,23.1587,1.8327,0.6598,111.604,107.499377,8.5883,100.448,7.946,255.1428,50.234,6.595182796,0.055,0,136.4323843,ccr50
5/16/2018 10:22,1.325,23.1588,1.8678,0.6456,111.606,107.499922,8.5893,100.459,7.944,255.184,49.802,6.595293754,0.055,0,136.4323843,ccr50
5/16/2018 10:22,1.34,23.1579,1.8803,0.6659,111.606,107.500063,8.5902,100.468,7.941,255.313,49.564,6.595425414,0.05,0,136.4323843,ccr50
5/16/2018 10:22,1.349,23.1565,1.8744,0.6909,111.608,107.501083,8.5932,100.503,7.94,255.3256,49.374,6.595758801,0.042,0,136.4323843,ccr50
5/16/2018 10:22,1.355,23.1551,1.8511,0.7049,111.62,107.512252,8.5983,100.563,7.941,255.1646,49.218,6.596729573,0.034,0,136.4323843,ccr50
5/16/2018 10:22,1.36,23.1546,1.8193,0.6825,111.615,107.507597,8.603,100.618,7.944,255.1734,49.087,6.59648435,0.03,0,136.4323843,ccr50
5/16/2018 10:22,1.366,23.1548,1.8033,0.6337,111.617,107.508555,8.6057,100.649,7.944,255.2599,48.956,6.596581886,0.033,0,136.4323843,ccr50
5/16/2018 10:22,1.371,23.1546,1.8042,0.6328,111.634,107.523829,8.6062,100.654,7.941,255.1786,48.847,6.597694345,0.038,0,136.4323843,ccr50
5/16/2018 10:22,1.38,23.1545,1.8109,0.6721,111.613,107.501032,8.6064,100.654,7.936,255.1365,48.622,6.596370542,0.041,0,136.4323843,ccr50
5/16/2018 10:22,1.395,23.1544,1.811,0.6814,111.601,107.487911,8.6055,100.641,7.936,255.1801,48.296,6.5956195,0.042,0,136.4323843,ccr50
